,Connecticut Maine,2018-07-18 12:43:08,2018-07-19 16:02:27
,ifcbfile,latitude,longitude
63,D20180718T232734_IFCB110.hdr,41.77658882978724,-70.5434539787234
64,D20180718T235053_IFCB110.hdr,41.747726101694916,-70.59109876271187
65,D20180719T001412_IFCB110.hdr,41.725457909090906,-70.63838467272727
66,D20180719T003731_IFCB110.hdr,41.68308536585366,-70.67837797560975
67,D20180719T010050_IFCB110.hdr,41.6274731627907,-70.70009686046512
68,D20180719T012410_IFCB110.hdr,41.56835048717949,-70.6972351025641
69,D20180719T014729_IFCB110.hdr,,
70,D20180719T021048_IFCB110.hdr,,
71,D20180719T023407_IFCB110.hdr,,
72,D20180719T025726_IFCB110.hdr,,
73,D20180719T032045_IFCB110.hdr,,
74,D20180719T034404_IFCB110.hdr,,
75,D20180719T040723_IFCB110.hdr,,
76,D20180719T043042_IFCB110.hdr,,
77,D20180719T045401_IFCB110.hdr,,
78,D20180719T051720_IFCB110.hdr,,
79,D20180719T054039_IFCB110.hdr,,
80,D20180719T060358_IFCB110.hdr,,
81,D20180719T062717_IFCB110.hdr,,
82,D20180719T065036_IFCB110.hdr,,
83,D20180719T071355_IFCB110.hdr,,
84,D20180719T073714_IFCB110.hdr,,
85,D20180719T080033_IFCB110.hdr,,
86,D20180719T082352_IFCB110.hdr,,
87,D20180719T084712_IFCB110.hdr,,
88,D20180719T091031_IFCB110.hdr,,
89,D20180719T093350_IFCB110.hdr,,
90,D20180719T095709_IFCB110.hdr,,
91,D20180719T102028_IFCB110.hdr,,
92,D20180719T104347_IFCB110.hdr,,
93,D20180719T110706_IFCB110.hdr,,
94,D20180719T113025_IFCB110.hdr,,
95,D20180719T115345_IFCB110.hdr,,
96,D20180719T121704_IFCB110.hdr,,
97,D20180719T124023_IFCB110.hdr,,
98,D20180719T130342_IFCB110.hdr,,
99,D20180719T132701_IFCB110.hdr,,
100,D20180719T135020_IFCB110.hdr,,
101,D20180719T141339_IFCB110.hdr,,
102,D20180719T143658_IFCB110.hdr,,
103,D20180719T150017_IFCB110.hdr,,
104,D20180719T152337_IFCB110.hdr,,
105,D20180719T154656_IFCB110.hdr,,
