type	time	latitude	longitude	name	desc
T	2017-07-17 12:35:55	41.671700000	-70.671700000		
T	2017-07-17 12:36:15	41.673300000	-70.671100000		
T	2017-07-17 12:36:36	41.675000000	-70.670500000		
T	2017-07-17 12:36:55	41.676600000	-70.669900000		
T	2017-07-17 12:37:15	41.678200000	-70.669300000		
T	2017-07-17 12:37:35	41.679900000	-70.668600000		
T	2017-07-17 12:37:55	41.681500000	-70.667900000		
T	2017-07-17 12:38:15	41.683100000	-70.667200000		
T	2017-07-17 12:38:35	41.684700000	-70.666600000		
T	2017-07-17 12:38:55	41.686300000	-70.665900000		
T	2017-07-17 12:39:15	41.687900000	-70.665000000		
T	2017-07-17 12:39:35	41.689500000	-70.664100000		
T	2017-07-17 12:39:55	41.691000000	-70.663100000		
T	2017-07-17 12:40:14	41.692500000	-70.662100000		
T	2017-07-17 12:40:35	41.694100000	-70.661300000		
T	2017-07-17 12:40:55	41.695700000	-70.660500000		
T	2017-07-17 12:41:14	41.697400000	-70.659900000		
T	2017-07-17 12:41:35	41.699000000	-70.659400000		
T	2017-07-17 12:41:57	41.700800000	-70.658900000		
T	2017-07-17 12:42:29	41.702500000	-70.658500000		
T	2017-07-17 12:43:11	41.703900000	-70.657300000		
T	2017-07-17 12:43:51	41.705400000	-70.656000000		
T	2017-07-17 12:44:31	41.706800000	-70.654700000		
T	2017-07-17 12:45:09	41.708200000	-70.653400000		
T	2017-07-17 12:45:47	41.709600000	-70.652100000		
T	2017-07-17 12:46:25	41.711100000	-70.650800000		
T	2017-07-17 12:47:02	41.712500000	-70.649500000		
T	2017-07-17 12:47:49	41.713900000	-70.648100000		
T	2017-07-17 12:48:29	41.715200000	-70.646800000		
T	2017-07-17 12:49:09	41.716600000	-70.645500000		
T	2017-07-17 12:49:51	41.718000000	-70.644100000		
T	2017-07-17 12:50:41	41.719400000	-70.642800000		
T	2017-07-17 12:51:38	41.720800000	-70.641600000		
T	2017-07-17 12:52:36	41.722100000	-70.640200000		
T	2017-07-17 12:53:29	41.723500000	-70.638800000		
T	2017-07-17 12:54:21	41.724900000	-70.637600000		
T	2017-07-17 12:55:11	41.726300000	-70.636300000		
T	2017-07-17 12:56:03	41.727600000	-70.634900000		
T	2017-07-17 12:56:55	41.729000000	-70.633600000		
T	2017-07-17 12:57:47	41.730300000	-70.632100000		
T	2017-07-17 12:58:43	41.731600000	-70.630700000		
T	2017-07-17 12:59:39	41.732900000	-70.629200000		
T	2017-07-17 13:00:35	41.734100000	-70.627700000		
T	2017-07-17 13:01:33	41.735300000	-70.626100000		
T	2017-07-17 13:02:29	41.736400000	-70.624400000		
T	2017-07-17 13:03:24	41.737500000	-70.622700000		
T	2017-07-17 13:04:22	41.738600000	-70.620900000		
T	2017-07-17 13:05:22	41.739700000	-70.619200000		
T	2017-07-17 13:06:25	41.740500000	-70.617200000		
T	2017-07-17 13:07:29	41.741200000	-70.615100000		
T	2017-07-17 13:08:32	41.741800000	-70.613000000		
T	2017-07-17 13:09:29	41.742400000	-70.610900000		
T	2017-07-17 13:10:27	41.743000000	-70.608700000		
T	2017-07-17 13:11:23	41.743400000	-70.606500000		
T	2017-07-17 13:12:23	41.743900000	-70.604300000		
T	2017-07-17 13:13:42	41.744400000	-70.602100000		
T	2017-07-17 13:14:35	41.744800000	-70.599900000		
T	2017-07-17 13:15:25	41.745200000	-70.597700000		
T	2017-07-17 13:16:15	41.745800000	-70.595500000		
T	2017-07-17 13:17:05	41.746400000	-70.593300000		
T	2017-07-17 13:17:53	41.747000000	-70.591100000		
T	2017-07-17 13:18:42	41.747600000	-70.589000000		
T	2017-07-17 13:19:28	41.748400000	-70.586900000		
T	2017-07-17 13:20:13	41.749200000	-70.585000000		
T	2017-07-17 13:20:57	41.750100000	-70.583000000		
T	2017-07-17 13:21:41	41.751200000	-70.581200000		
T	2017-07-17 13:22:28	41.752200000	-70.579400000		
T	2017-07-17 13:23:16	41.753400000	-70.577700000		
T	2017-07-17 13:24:01	41.754600000	-70.576000000		
T	2017-07-17 13:24:43	41.755800000	-70.574500000		
T	2017-07-17 13:25:23	41.757200000	-70.573000000		
T	2017-07-17 13:26:02	41.758500000	-70.571700000		
T	2017-07-17 13:26:43	41.760000000	-70.570500000		
T	2017-07-17 13:27:23	41.761600000	-70.569600000		
T	2017-07-17 13:28:02	41.763100000	-70.568600000		
T	2017-07-17 13:28:43	41.764600000	-70.567500000		
T	2017-07-17 13:29:23	41.766100000	-70.566500000		
T	2017-07-17 13:30:03	41.767600000	-70.565400000		
T	2017-07-17 13:30:43	41.768900000	-70.564000000		
T	2017-07-17 13:31:24	41.770200000	-70.562400000		
T	2017-07-17 13:32:07	41.771300000	-70.560800000		
T	2017-07-17 13:32:49	41.772200000	-70.558900000		
T	2017-07-17 13:33:31	41.773200000	-70.557000000		
T	2017-07-17 13:34:12	41.774000000	-70.554900000		
T	2017-07-17 13:34:53	41.774700000	-70.552900000		
T	2017-07-17 13:35:33	41.775100000	-70.550700000		
T	2017-07-17 13:36:12	41.775500000	-70.548500000		
T	2017-07-17 13:36:53	41.775900000	-70.546200000		
T	2017-07-17 13:37:33	41.776000000	-70.543900000		
T	2017-07-17 13:38:12	41.775700000	-70.541600000		
T	2017-07-17 13:38:53	41.775500000	-70.539400000		
T	2017-07-17 13:39:33	41.775300000	-70.537100000		
T	2017-07-17 13:40:13	41.775000000	-70.534900000		
T	2017-07-17 13:40:53	41.774700000	-70.532700000		
T	2017-07-17 13:41:33	41.774400000	-70.530400000		
T	2017-07-17 13:42:13	41.774100000	-70.528200000		
T	2017-07-17 13:42:53	41.773800000	-70.526000000		
T	2017-07-17 13:43:37	41.773500000	-70.523800000		
T	2017-07-17 13:44:20	41.773200000	-70.521600000		
T	2017-07-17 13:45:01	41.772900000	-70.519300000		
T	2017-07-17 13:45:43	41.772800000	-70.517000000		
T	2017-07-17 13:46:25	41.772700000	-70.514600000		
T	2017-07-17 13:47:07	41.772700000	-70.512400000		
T	2017-07-17 13:47:51	41.772800000	-70.510100000		
T	2017-07-17 13:48:35	41.773000000	-70.507800000		
T	2017-07-17 13:49:19	41.773300000	-70.505500000		
T	2017-07-17 13:50:11	41.773600000	-70.503300000		
T	2017-07-17 13:50:59	41.774200000	-70.501100000		
T	2017-07-17 13:51:42	41.774900000	-70.499000000		
T	2017-07-17 13:52:25	41.775600000	-70.497000000		
T	2017-07-17 13:53:07	41.776300000	-70.494900000		
T	2017-07-17 13:53:49	41.777100000	-70.492900000		
T	2017-07-17 13:54:28	41.777900000	-70.490900000		
T	2017-07-17 13:55:09	41.778700000	-70.488900000		
T	2017-07-17 13:55:48	41.780000000	-70.487500000		
T	2017-07-17 13:56:21	41.781700000	-70.486900000		
T	2017-07-17 13:56:43	41.783300000	-70.486000000		
T	2017-07-17 13:57:03	41.784800000	-70.485100000		
T	2017-07-17 13:57:24	41.786500000	-70.483900000		
T	2017-07-17 13:57:45	41.787900000	-70.482900000		
T	2017-07-17 13:58:05	41.789400000	-70.481800000		
T	2017-07-17 13:58:25	41.790900000	-70.480800000		
T	2017-07-17 13:58:47	41.792500000	-70.479700000		
T	2017-07-17 13:59:09	41.794100000	-70.478400000		
T	2017-07-17 13:59:31	41.795700000	-70.477200000		
T	2017-07-17 13:59:53	41.797300000	-70.476100000		
T	2017-07-17 14:00:15	41.798900000	-70.475100000		
T	2017-07-17 14:00:37	41.800500000	-70.473900000		
T	2017-07-17 14:00:59	41.802100000	-70.472700000		
T	2017-07-17 14:01:21	41.803600000	-70.471500000		
T	2017-07-17 14:01:43	41.805200000	-70.470200000		
T	2017-07-17 14:02:04	41.806500000	-70.468600000		
T	2017-07-17 14:02:26	41.807800000	-70.466900000		
T	2017-07-17 14:02:49	41.809100000	-70.465200000		
T	2017-07-17 14:03:11	41.810500000	-70.463800000		
T	2017-07-17 14:03:33	41.812100000	-70.462800000		
T	2017-07-17 14:03:55	41.813800000	-70.461800000		
T	2017-07-17 14:04:17	41.815400000	-70.460700000		
T	2017-07-17 14:04:38	41.817000000	-70.459600000		
T	2017-07-17 14:05:00	41.818700000	-70.458500000		
T	2017-07-17 14:05:23	41.820300000	-70.457400000		
T	2017-07-17 14:05:45	41.821900000	-70.456200000		
T	2017-07-17 14:06:07	41.823500000	-70.455100000		
T	2017-07-17 14:06:29	41.825100000	-70.453900000		
T	2017-07-17 14:06:48	41.826600000	-70.452900000		
T	2017-07-17 14:07:10	41.828200000	-70.451700000		
T	2017-07-17 14:07:31	41.829700000	-70.450700000		
T	2017-07-17 14:07:51	41.831200000	-70.449700000		
T	2017-07-17 14:08:10	41.832700000	-70.448700000		
T	2017-07-17 14:08:31	41.834200000	-70.447600000		
T	2017-07-17 14:08:51	41.835700000	-70.446600000		
T	2017-07-17 14:09:11	41.837100000	-70.445500000		
T	2017-07-17 14:09:31	41.838600000	-70.444500000		
T	2017-07-17 14:09:51	41.840100000	-70.443400000		
