type	time	latitude	longitude	name	desc
T	2018-07-18 14:09:36	43.302500000	-70.317333000		
T	2018-07-18 14:10:14	43.303833000	-70.315833000		
T	2018-07-18 14:10:55	43.305167000	-70.314333000		
T	2018-07-18 14:11:35	43.306667000	-70.313000000		
T	2018-07-18 14:12:13	43.308000000	-70.311500000		
T	2018-07-18 14:12:53	43.309333000	-70.310000000		
T	2018-07-18 14:13:34	43.310667000	-70.308500000		
T	2018-07-18 14:14:12	43.312167000	-70.307167000		
T	2018-07-18 14:14:51	43.313667000	-70.306000000		
T	2018-07-18 14:15:32	43.315167000	-70.304667000		
T	2018-07-18 14:16:12	43.316667000	-70.303500000		
T	2018-07-18 14:16:53	43.318167000	-70.302167000		
T	2018-07-18 14:17:33	43.319667000	-70.300833000		
T	2018-07-18 14:18:13	43.321167000	-70.299500000		
T	2018-07-18 14:18:54	43.322667000	-70.298167000		
T	2018-07-18 14:19:34	43.324167000	-70.296833000		
T	2018-07-18 14:20:15	43.325667000	-70.295500000		
T	2018-07-18 14:20:55	43.327167000	-70.294167000		
T	2018-07-18 14:21:35	43.328667000	-70.292833000		
T	2018-07-18 14:22:15	43.330167000	-70.291667000		
T	2018-07-18 14:22:55	43.331667000	-70.290333000		
T	2018-07-18 14:23:36	43.333167000	-70.289000000		
T	2018-07-18 14:24:14	43.334667000	-70.287667000		
T	2018-07-18 14:24:54	43.336167000	-70.286333000		
T	2018-07-18 14:25:35	43.337667000	-70.285000000		
T	2018-07-18 14:26:14	43.339167000	-70.283667000		
T	2018-07-18 14:26:54	43.340667000	-70.282333000		
T	2018-07-18 14:27:35	43.342167000	-70.280833000		
T	2018-07-18 14:28:14	43.343667000	-70.279500000		
T	2018-07-18 14:28:56	43.345167000	-70.278167000		
T	2018-07-18 14:29:35	43.346667000	-70.276833000		
T	2018-07-18 14:30:16	43.348167000	-70.275333000		
T	2018-07-18 14:30:58	43.349667000	-70.274000000		
T	2018-07-18 14:31:37	43.351167000	-70.272667000		
T	2018-07-18 14:32:18	43.352667000	-70.271333000		
T	2018-07-18 14:32:57	43.354167000	-70.270000000		
T	2018-07-18 14:33:36	43.355667000	-70.268833000		
T	2018-07-18 14:34:16	43.357167000	-70.267500000		
T	2018-07-18 14:34:57	43.358667000	-70.266167000		
T	2018-07-18 14:35:36	43.360167000	-70.264833000		
