,Gulf Challenger Harpswell,2018-05-17 15:53:21,2018-05-19 21:13:48
,ifcbfile,latitude,longitude
62,D20180518T002159_IFCB009.hdr,43.65333090858828,-70.24897282270548
63,D20180518T002928_IFCB009.hdr,43.653335203692976,-70.24895554771558
64,D20180518T003657_IFCB009.hdr,43.65333949879768,-70.24893827272567
65,D20180518T004425_IFCB009.hdr,43.65334378433644,-70.24892103621013
66,D20180518T005154_IFCB009.hdr,43.65334807944114,-70.24890376122022
67,D20180518T005923_IFCB009.hdr,43.65335237454584,-70.24888648623032
68,D20180518T010652_IFCB009.hdr,43.653356669650535,-70.2488692112404
69,D20180518T011421_IFCB009.hdr,43.65336096475524,-70.2488519362505
70,D20180518T012150_IFCB009.hdr,43.65336525985993,-70.24883466126059
71,D20180518T012919_IFCB009.hdr,43.653369554964634,-70.24881738627069
72,D20180518T013648_IFCB009.hdr,43.65337385006933,-70.24880011128077
73,D20180518T014417_IFCB009.hdr,43.65337814517403,-70.24878283629087
74,D20180518T015146_IFCB009.hdr,43.65338244027873,-70.24876556130096
75,D20180518T015915_IFCB009.hdr,43.65338673538343,-70.24874828631106
76,D20180518T020644_IFCB009.hdr,43.65339103048813,-70.24873101132114
77,D20180518T021413_IFCB009.hdr,43.653395325592825,-70.24871373633124
78,D20180518T022142_IFCB009.hdr,43.65339962069753,-70.24869646134134
79,D20180518T022911_IFCB009.hdr,43.65340391580222,-70.24867918635142
80,D20180518T023639_IFCB009.hdr,43.65340820134099,-70.24866194983588
81,D20180518T024408_IFCB009.hdr,43.65341249644568,-70.24864467484598
82,D20180518T025137_IFCB009.hdr,43.653416791550384,-70.24862739985606
83,D20180518T025906_IFCB009.hdr,43.65342108665509,-70.24861012486616
84,D20180518T030635_IFCB009.hdr,43.65342538175978,-70.24859284987625
85,D20180518T031404_IFCB009.hdr,43.653429676864484,-70.24857557488635
86,D20180518T032133_IFCB009.hdr,43.65343397196918,-70.24855829989644
87,D20180518T032902_IFCB009.hdr,43.65343826707388,-70.24854102490653
88,D20180518T033631_IFCB009.hdr,43.653442562178576,-70.24852374991663
89,D20180518T034400_IFCB009.hdr,43.65344685728328,-70.24850647492671
90,D20180518T035129_IFCB009.hdr,43.65345115238797,-70.24848919993681
91,D20180518T035858_IFCB009.hdr,43.653455447492675,-70.2484719249469
92,D20180518T040627_IFCB009.hdr,43.65345974259737,-70.248454649957
93,D20180518T041356_IFCB009.hdr,43.65346403770207,-70.24843737496708
94,D20180518T042125_IFCB009.hdr,43.65346833280677,-70.24842009997718
95,D20180518T042854_IFCB009.hdr,43.65347262791147,-70.24840282498727
96,D20180518T043623_IFCB009.hdr,43.653476923016164,-70.24838554999737
97,D20180518T044352_IFCB009.hdr,43.65348121812087,-70.24836827500745
98,D20180518T045121_IFCB009.hdr,43.65348551322556,-70.24835100001755
99,D20180518T045850_IFCB009.hdr,43.653489808330264,-70.24833372502763
100,D20180518T050619_IFCB009.hdr,43.65349410343496,-70.24831645003773
101,D20180518T051348_IFCB009.hdr,43.65349839853966,-70.24829917504783
102,D20180518T052117_IFCB009.hdr,43.653502693644356,-70.24828190005792
103,D20180518T052846_IFCB009.hdr,43.65350698874906,-70.24826462506802
104,D20180518T053615_IFCB009.hdr,43.65351128385375,-70.2482473500781
105,D20180518T054344_IFCB009.hdr,43.653515578958455,-70.2482300750882
106,D20180518T055113_IFCB009.hdr,43.65351987406315,-70.24821280009829
107,D20180518T055841_IFCB009.hdr,43.653524159601915,-70.24819556358274
108,D20180518T060610_IFCB009.hdr,43.65352845470662,-70.24817828859284
109,D20180518T061339_IFCB009.hdr,43.65353274981131,-70.24816101360294
